FL_DATE,flights,known_arrivals,arrival_missing_rate,mean_arrival_delay,mean_arrival_delay_se,median_arrival_delay,p95_arrival_delay,late15_rate,late15_lower,late15_upper,severe60_rate,worsening60_rate,mean_arrival_delay_rank,p95_arrival_delay_rank,late15_rate_rank,severe60_rate_rank,worsening60_rate_rank,priority_score,priority_rank
2019-01-24,19963,19503,0.0230426288633973,19.0548633543551,0.461497293014528,0,139,0.311952007383479,0.305487519231347,0.31849055966552,0.138235143311285,0.00748602779059632,1,1,1,1,0.935483870967742,98.7096774193548,1
2019-01-23,19099,18458,0.0335619665951097,14.9248022537656,0.447810482239585,-3,121,0.272889803879077,0.266511424275899,0.279362695664921,0.120110521183227,0.00666377722396793,0.935483870967742,0.935483870967742,0.967741935483871,0.967741935483871,0.903225806451613,94.1935483870968,2
2019-01-21,19511,18858,0.0334682999333709,17.3532187930857,0.546559901038021,-2,134.149999999998,0.269010499522749,0.262728935030993,0.275386152034069,0.109502598366741,0.00535581715982607,0.967741935483871,0.967741935483871,0.935483870967742,0.935483870967742,0.806451612903226,92.258064516129,3
2019-01-22,18657,17395,0.0676421718389881,13.3942512216149,0.577579284117436,-6,119,0.22586950273067,0.219716411428278,0.232143643589062,0.0962920379419374,0.00477148605921242,0.903225806451613,0.903225806451613,0.838709677419355,0.903225806451613,0.774193548387097,86.4516129032258,4
2019-01-30,19102,16914,0.114542979792692,7.57236608726477,0.456935938024627,-7,96,0.204032162705451,0.1980264226779,0.210172310927095,0.0815892160340546,0.00762681802057467,0.774193548387097,0.854838709677419,0.67741935483871,0.870967741935484,0.967741935483871,82.9032258064516,5
2019-01-25,20041,19826,0.0107280075844519,8.19429032583497,0.376336236471654,-5,86,0.226672046807223,0.220897429741776,0.232552562659497,0.0813073741551498,0.0047412488651266,0.806451612903226,0.806451612903226,0.870967741935484,0.838709677419355,0.741935483870968,81.2903225806452,6
2019-01-18,20009,19534,0.0237393173072118,7.04295075253439,0.326703895800061,-4,75,0.219002764410771,0.213258666582684,0.224857359533201,0.066653015255452,0.00537524316576226,0.709677419354839,0.709677419354839,0.806451612903226,0.67741935483871,0.838709677419355,74.8387096774194,7
2019-01-28,19934,18435,0.0751981539078961,6.54732845131648,0.47387443342491,-9,96,0.178464876593436,0.173004696241498,0.184059031082387,0.0749118524545701,0.00623813398426905,0.67741935483871,0.854838709677419,0.483870967741936,0.806451612903226,0.870967741935484,73.8709677419355,8
2019-01-31,19962,18160,0.0902715158801723,7.078414096916,0.38339180119475,-5,79,0.208535242290749,0.202688436257545,0.214505331701751,0.0732929515418502,0.00258810572687225,0.741935483870968,0.741935483870968,0.709677419354839,0.774193548387097,0.516129032258065,69.6774193548387,9
2019-01-19,14935,13382,0.103983930364915,8.88910476759826,0.6294580215856,-6,71,0.201091017785084,0.194386249342763,0.207967347581968,0.0598565236885368,0.00470781646988492,0.870967741935484,0.580645161290323,0.645161290322581,0.580645161290323,0.709677419354839,67.741935483871,10
