FL_DATE,flights,known_arrivals,arrival_missing_rate,mean_arrival_delay,mean_arrival_delay_se,median_arrival_delay,p95_arrival_delay,late15_rate,late15_lower,late15_upper,severe60_rate,worsening60_rate,mean_arrival_delay_rank,p95_arrival_delay_rank,late15_rate_rank,severe60_rate_rank,worsening60_rate_rank,priority_score,priority_rank
2019-01-01,18009,17844,0.00916208562385474,5.09555032503926,0.342059443057615,-5,68,0.215422550997534,0.209452082317595,0.221515521051565,0.0603564223268326,0.00218560860793544,0.580645161290323,0.548387096774194,0.774193548387097,0.612903225806452,0.451612903225806,59.3548387096774,14
2019-01-02,20384,20170,0.0104984301412873,8.34000991571715,0.313247578129883,-2,74,0.257957362419435,0.251965983701706,0.264040919597773,0.0700049578582053,0.00153693604362915,0.838709677419355,0.661290322580645,0.903225806451613,0.741935483870968,0.225806451612903,67.4193548387097,11
2019-01-03,19522,19341,0.00927159102550968,2.33354014787231,0.32548631207131,-5,54,0.186184788790652,0.180761450103134,0.191732761036293,0.0433276459335091,0.00113747996484153,0.483870967741936,0.32258064516129,0.516129032258065,0.290322580645161,0.161290322580645,35.4838709677419,21
2019-01-04,19566,19467,0.00505979760809568,-2.38162017773662,0.275576256271888,-8,38.7000000000007,0.127086864950943,0.122481521769381,0.131839354361907,0.0314378178455848,0.000256844917039092,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.032258064516129,8.38709677419355,29
2019-01-05,16807,16643,0.00975783899565657,1.52802980231926,0.385259507179039,-8,63,0.160788319413567,0.155285906529826,0.166447286644954,0.0536561917923451,0.00198281559814937,0.419354838709677,0.451612903225806,0.419354838709677,0.451612903225806,0.387096774193548,42.5806451612903,19
2019-01-06,19448,19096,0.0180995475113122,5.96795140343482,0.437166169512212,-6,82,0.198470883954755,0.192874788981275,0.204188269116431,0.0690720569752828,0.00240888144113951,0.612903225806452,0.774193548387097,0.580645161290323,0.709677419354839,0.483870967741936,63.2258064516129,13
2019-01-07,20015,19851,0.00819385460904322,-0.840259936527865,0.284451916677729,-9,51,0.151579265528185,0.146658061045244,0.156635292936459,0.0418618709384918,0.000654878847413229,0.225806451612903,0.193548387096774,0.32258064516129,0.193548387096774,0.129032258064516,21.2903225806452,26
2019-01-08,18815,18579,0.0125431836300824,-4.71779966628975,0.25485242371116,-11,36,0.101620108724904,0.0973574610128164,0.106047463212403,0.0289036008396577,0.000269121050648582,0.0645161290322581,0.0483870967741936,0.032258064516129,0.032258064516129,0.0967741935483871,5.48387096774194,30
2019-01-09,19236,19045,0.00992929923060927,-5.00614334470987,0.227674304877299,-10,36,0.103386715673405,0.0991423260344504,0.1077910702743,0.0290364925177212,0.000262536098713573,0.032258064516129,0.0483870967741936,0.0645161290322581,0.0645161290322581,0.0645161290322581,5.48387096774194,31
2019-01-10,19980,19756,0.0112112112112112,0.59131403118095,0.306050566169254,-9,71.25,0.143247620975906,0.138431898234035,0.148202054301672,0.0593743672808261,0.00404940271309982,0.387096774193548,0.612903225806452,0.193548387096774,0.548387096774194,0.580645161290323,46.4516129032258,18
2019-01-11,20082,19827,0.0126979384523454,-0.562969687799429,0.260865746947783,-8,53,0.160589095677611,0.155544397531692,0.165765289303937,0.0420134160488223,0.00211832349825995,0.258064516129032,0.290322580645161,0.387096774193548,0.225806451612903,0.419354838709677,31.6129032258065,24
2019-01-12,15315,14943,0.0242899118511264,-0.943317941511026,0.366338648558448,-9,52,0.150572174262196,0.144927919797712,0.156396040266292,0.0434986281201901,0.00441678377835776,0.161290322580645,0.258064516129032,0.258064516129032,0.32258064516129,0.67741935483871,33.5483870967742,23
2019-01-13,18561,17779,0.0421313506815366,1.60217110073689,0.386956412223881,-8,67,0.162157601664886,0.156812610766006,0.167648554351041,0.0552899488160189,0.00883064289330109,0.451612903225806,0.516129032258065,0.451612903225806,0.483870967741936,1,58.0645161290323,15
2019-01-14,19941,19661,0.0140414221954767,-0.398657240221982,0.279463205323965,-8,56,0.151467371954631,0.146524313863829,0.156546599334274,0.0470474543512538,0.0034586236712273,0.290322580645161,0.354838709677419,0.290322580645161,0.354838709677419,0.548387096774194,36.7741935483871,20
2019-01-15,18653,18382,0.0145284940760199,-0.878794472853974,0.259938050397008,-8,51,0.154934174736155,0.149775491084693,0.160237051533321,0.04003916875204,0.00114242193450114,0.193548387096774,0.193548387096774,0.354838709677419,0.161290322580645,0.193548387096774,21.9354838709677,25
2019-01-16,19099,18756,0.0179590554479292,-0.283216037534654,0.33719798711223,-8,47,0.129132011089785,0.124408619486014,0.134007288210332,0.0391874600127959,0.00159948816378759,0.32258064516129,0.129032258064516,0.129032258064516,0.129032258064516,0.258064516129032,19.3548387096774,28
2019-01-17,19960,19713,0.012374749498998,4.98189012326894,0.302564269441468,-4,66,0.200223202962512,0.194695688226048,0.205867529534546,0.0566123877644194,0.00192766194896769,0.548387096774194,0.483870967741936,0.612903225806452,0.516129032258065,0.354838709677419,50.3225806451613,16
2019-01-18,20009,19534,0.0237393173072118,7.04295075253439,0.326703895800061,-4,75,0.219002764410771,0.213258666582684,0.224857359533201,0.066653015255452,0.00537524316576226,0.709677419354839,0.709677419354839,0.806451612903226,0.67741935483871,0.838709677419355,74.8387096774194,7
2019-01-19,14935,13382,0.103983930364915,8.88910476759826,0.6294580215856,-6,71,0.201091017785084,0.194386249342763,0.207967347581968,0.0598565236885368,0.00470781646988492,0.870967741935484,0.580645161290323,0.645161290322581,0.580645161290323,0.709677419354839,67.741935483871,10
2019-01-20,16875,15663,0.0718222222222222,6.08842495052036,0.430303108433784,-5,74,0.210049160441806,0.203741369316946,0.216499141581559,0.0654408478580093,0.00440528634361234,0.645161290322581,0.661290322580645,0.741935483870968,0.645161290322581,0.645161290322581,66.7741935483871,12
2019-01-21,19511,18858,0.0334682999333709,17.3532187930857,0.546559901038021,-2,134.149999999998,0.269010499522749,0.262728935030993,0.275386152034069,0.109502598366741,0.00535581715982607,0.967741935483871,0.967741935483871,0.935483870967742,0.935483870967742,0.806451612903226,92.258064516129,3
2019-01-22,18657,17395,0.0676421718389881,13.3942512216149,0.577579284117436,-6,119,0.22586950273067,0.219716411428278,0.232143643589062,0.0962920379419374,0.00477148605921242,0.903225806451613,0.903225806451613,0.838709677419355,0.903225806451613,0.774193548387097,86.4516129032258,4
2019-01-23,19099,18458,0.0335619665951097,14.9248022537656,0.447810482239585,-3,121,0.272889803879077,0.266511424275899,0.279362695664921,0.120110521183227,0.00666377722396793,0.935483870967742,0.935483870967742,0.967741935483871,0.967741935483871,0.903225806451613,94.1935483870968,2
2019-01-24,19963,19503,0.0230426288633973,19.0548633543551,0.461497293014528,0,139,0.311952007383479,0.305487519231347,0.31849055966552,0.138235143311285,0.00748602779059632,1,1,1,1,0.935483870967742,98.7096774193548,1
2019-01-25,20041,19826,0.0107280075844519,8.19429032583497,0.376336236471654,-5,86,0.226672046807223,0.220897429741776,0.232552562659497,0.0813073741551498,0.0047412488651266,0.806451612903226,0.806451612903226,0.870967741935484,0.838709677419355,0.741935483870968,81.2903225806452,6
2019-01-26,15267,15178,0.00582956704002096,-1.91981815786013,0.338235985636609,-9,51,0.133416787455528,0.128100006962353,0.13891908092737,0.0422980629859006,0.00171300566609566,0.129032258064516,0.193548387096774,0.161290322580645,0.258064516129032,0.290322580645161,20.6451612903226,27
2019-01-27,18575,18322,0.0136204576043069,3.23545464468939,0.357202210031783,-6,58,0.188134483135029,0.182541095190024,0.193858617440939,0.0487392206091038,0.00431175635847615,0.516129032258065,0.403225806451613,0.548387096774194,0.387096774193548,0.612903225806452,49.3548387096774,17
2019-01-28,19934,18435,0.0751981539078961,6.54732845131648,0.47387443342491,-9,96,0.178464876593436,0.173004696241498,0.184059031082387,0.0749118524545701,0.00623813398426905,0.67741935483871,0.854838709677419,0.483870967741936,0.806451612903226,0.870967741935484,73.8709677419355,8
2019-01-29,18662,17482,0.0632300932375951,-0.0585173321123458,0.356330833960101,-9,58,0.1458643175838,0.140709839629528,0.151174395443762,0.0492506578194715,0.00183045418144377,0.354838709677419,0.403225806451613,0.225806451612903,0.419354838709677,0.32258064516129,34.5161290322581,22
2019-01-30,19102,16914,0.114542979792692,7.57236608726477,0.456935938024627,-7,96,0.204032162705451,0.1980264226779,0.210172310927095,0.0815892160340546,0.00762681802057467,0.774193548387097,0.854838709677419,0.67741935483871,0.870967741935484,0.967741935483871,82.9032258064516,5
